FID,SITE_SEQ_N,SOURCE_SIT,HICAP_WELL,WI_UNIQUE_,PROPERTY_S,SOURCE_TYP,WATER_USE_,WATER_USE1,GLC_WATER_,SOURCE_STA,APPROVAL_D,COMPLETION,MAX_HYDR_C,MAX_DAILY_,ACTIVE_SOU,OPEN_INT_T,OPEN_INT_B,WELL_DEPTH,SCREENED,ELEV_M
672,9135,4916,23878,BC928,6536,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1966/12/13 00:00:00+00,1966/08/08 00:00:00+00,1440000,1440000,Y,0,0,0, ,332.5611706
673,9138,5137,24165,BD186,6571,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1979/09/18 00:00:00+00,,1296000,1296000,Y,0,0,0, ,331.1560471
674,9144,4714,23631,BC693,6586,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1965/02/15 00:00:00+00,1966/04/01 00:00:00+00,0,1296000,Y,0,0,0, ,335.3745059
675,9163,9743,71044,XE052,6674,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2014/02/28 00:00:00+00,2014/04/17 00:00:00+00,1440000,1440000,Y,318,309,26,Y,334.7892765
676,9182,6089,36762,TB453,6784,Groundwater,IR21,Forestry irrigation,Irrigation,EXISTING source,2005/11/08 00:00:00+00,2006/04/03 00:00:00+00,1440000,1440000,Y,311,301,40,Y,341.6960549
677,9191,2476,2602,ME925,14518,Groundwater,IR99,Irrigation - other,Irrigation,EXISTING source,1998/08/20 00:00:00+00,1998/08/31 00:00:00+00,288000,288000,Y,322,316,18,Y,334.5637274
678,9277,4982,23958,BD006,7197,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1975/03/19 00:00:00+00,1975/07/28 00:00:00+00,1440000,1440000,Y,0,0,0, ,329.0773274
679,9285,3723,4565,SZ346,7231,Groundwater,LV10,Dairy farming,Livestock,EXISTING source,2004/09/29 00:00:00+00,2005/10/14 00:00:00+00,43200,1000,Y,273,272,41,Y,313.0966471
680,9377,5975,36629,BE112,7569,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1991/10/29 00:00:00+00,1978/11/30 00:00:00+00,1440000,1440000,Y,0,0,0, ,328.6749706
681,9385,920,265,BB545,7621,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1979/05/03 00:00:00+00,1966/07/10 00:00:00+00,1584000,1584000,Y,0,0,0, ,308.683149
682,9428,5654,35311,BD749,7878,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1958/12/17 00:00:00+00,1958/07/20 00:00:00+00,1440000,600000,Y,0,0,0, ,283.7380112
683,9594,3041,3376,CM278,8638,Groundwater,EG99,Power gen - other,Industrial,EXISTING source,2001/08/09 00:00:00+00,1990/06/06 00:00:00+00,86400,0,Y,246,243,21,Y,264.2893378
684,9905,2425,2544,OC556,9491,Groundwater,IR99,Irrigation - other,Irrigation,EXISTING source,2001/06/01 00:00:00+00,2001/06/29 00:00:00+00,1440000,288000,Y,328,321,16,Y,337.3465529
685,9996,3701,4531,SN204,9743,Groundwater,DS12,Privt/multi residences,Commercial,EXISTING source,2004/04/12 00:00:00+00,2004/08/17 00:00:00+00,86400,5000,Y,247,227,44,N,271.1046614
686,9870,2836,3124,NZ429,9394,Groundwater,IN99,Industrial - other,Industrial,FILLED & SEALED well,2000/05/01 00:00:00+00,2000/06/05 00:00:00+00,72000,72000,N,309,306,9,Y,315.4222726
687,9195,5221,24268,BD287,6841,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1985/05/10 00:00:00+00,1985/05/08 00:00:00+00,1728000,1728000,Y,0,0,0, ,337.334349
688,9087,1787,1531,AD785,6382,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1995/04/12 00:00:00+00,1995/04/19 00:00:00+00,1152000,1152000,Y,299,293,26,Y,319.0677059
689,9150,4846,23797,BC852,6626,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1969/09/24 00:00:00+00,1970/05/15 00:00:00+00,1440000,1440000,Y,0,0,0, ,355.7168549
690,9235,1343,830,EO715,6986,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1992/07/01 00:00:00+00,1992/07/09 00:00:00+00,1440000,1440000,Y,317,260,67,N,327.0930765
691,9426,5698,35367,BD798,7852,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1985/04/19 00:00:00+00,1985/04/22 00:00:00+00,1440000,1440000,Y,0,0,0, ,287.8433606
692,9091,8841,70035,US622,6388,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2008/10/23 00:00:00+00,2008/10/29 00:00:00+00,1440000,1440000,Y,309,299,30,Y,329.9002726
693,9155,5207,24253,BD272,6650,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1984/04/23 00:00:00+00,1984/06/02 00:00:00+00,1440000,1440000,Y,0,0,0, ,347.782902
694,9194,1904,1673,IB245,6836,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1996/01/03 00:00:00+00,1996/03/13 00:00:00+00,1440000,1440000,Y,313,303,31,Y,334.2528255
695,9220,2630,2772,MY630,6913,Groundwater,IN62,Mineral preparations,Industrial,EXISTING source,1999/08/04 00:00:00+00,1999/08/17 00:00:00+00,5040000,5040000,Y,327,311,45,Y,355.8356941
696,9391,700,11,BB302,7639,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1970/04/23 00:00:00+00,1960/08/11 00:00:00+00,1440000,1503000,Y,0,0,0, ,325.6940549
697,9083,970,323,BB602,11894,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1985/01/14 00:00:00+00,1985/04/03 00:00:00+00,1728000,1728000,Y,0,0,0, ,331.695549
698,9242,1387,927,CN881,7038,Groundwater,OT01,Fire protection,Exempt Not Reported,LOCAP Residential or Fire Well,1992/04/23 00:00:00+00,1992/06/03 00:00:00+00,720000,720000,N,253,188,78,N,265.4890228
699,9286,5878,36508,BE004,7238,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1979/03/30 00:00:00+00,1966/05/06 00:00:00+00,1728000,1728000,Y,0,0,0, ,329.5314765
700,9427,5653,35310,BD748,7854,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1987/05/04 00:00:00+00,1958/05/25 00:00:00+00,1152000,1152000,Y,0,0,0, ,284.6627733
701,9056,854,186, ,9703,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1977/02/24 00:00:00+00,1977/05/24 00:00:00+00,1152000,1152000,Y,0,0,0, ,315.699651
702,9949,3432,4101,QW736,9620,Groundwater,PS23,OTM - multi-unit housing,Commercial,LOCAP Residential or Fire Well,2003/05/15 00:00:00+00,2002/07/26 00:00:00+00,86400,3000,N,256,230,38,N,267.9774104
703,9167,8481,69617,ON424,6691,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2001/10/16 00:00:00+00,2001/08/07 00:00:00+00,28800,1000,N,313,311,21,Y,332.8659706
704,9000,9838,71145,WS359,12086,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2010/06/17 00:00:00+00,2012/06/19 00:00:00+00,1440000,576000,Y,189,174,84,N,258.132988
705,9028,10789,90181, ,10769,Groundwater,PS50,Schools (K-12),Commercial,EXISTING source,1976/07/09 00:00:00+00,1976/08/16 00:00:00+00,72000,10000,Y,0,0,0, ,316.8548549
706,9046,887,225, ,10815,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1988/03/16 00:00:00+00,1978/03/16 00:00:00+00,1728000,1728000,Y,0,0,0, ,316.5896804
707,9089,765,82,BB370,6387,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1965/05/28 00:00:00+00,1966/05/09 00:00:00+00,1728000,1440000,Y,0,0,0, ,319.7870294
708,9094,1009,364,CG479,6403,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1989/05/12 00:00:00+00,1989/05/08 00:00:00+00,1440000,1440000,Y,287,275,33,Y,307.5523529
709,9096,706,17,BB308,6413,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1959/10/26 00:00:00+00,1959/11/11 00:00:00+00,1440000,840000,Y,0,0,0, ,322.557651
710,9114,5102,24119,BD147,6483,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1987/03/18 00:00:00+00,1978/08/31 00:00:00+00,1440000,1440000,Y,0,0,0, ,335.1733274
711,9118,5722,36326,BD825,6488,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1962/05/28 00:00:00+00,1963/04/23 00:00:00+00,1728000,1728000,Y,0,0,0, ,335.962749
712,9123,6921,67666,RB796,6507,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2005/05/20 00:00:00+00,2005/11/10 00:00:00+00,0,0,Y,313,303,20,Y,323.5177784
713,9127,5256,24316, ,6507,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1989/07/27 00:00:00+00,,1440000,1440000,Y,0,0,0, ,324.2218471
714,9143,4969,23943,BC991,6583,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1974/05/01 00:00:00+00,1974/10/03 00:00:00+00,0,1728000,N,322,316,31,Y,347.1153706
715,9168,4999,23977,BD023,6702,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/03/18 00:00:00+00,1976/04/06 00:00:00+00,1440000,1440000,Y,0,0,0, ,341.305902
716,9176,5756,36365,BD863,6767,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1958/11/19 00:00:00+00,1959/03/24 00:00:00+00,1440000,1440000,Y,0,0,0, ,340.5316981
717,9214,7672,68714,UJ791,6897,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2007/03/22 00:00:00+00,2007/04/04 00:00:00+00,1440000,1440000,Y,300,287,74,Y,361.1818981
718,9262,7993,69082, ,7142,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2007/01/01 00:00:00+00,,7200,0,N,0,0,0, ,332.9452216
719,9381,871,205,BB489,7592,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1977/05/20 00:00:00+00,1977/06/20 00:00:00+00,1440000,1440000,Y,0,0,0, ,315.699651
720,9384,917,262,BB542,7616,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1979/02/26 00:00:00+00,1979/04/04 00:00:00+00,1152000,1152000,Y,0,0,0, ,312.4443706
721,9390,949,299, ,7633,Groundwater,LV20,Non-dairy farming,Livestock,APPROVED well with well report,1982/10/12 00:00:00+00,1984/11/09 00:00:00+00,1440000,1440000,Y,0,0,0, ,319.1652255
722,9766,10366,82207,BG357,9088,Groundwater,CO99,Commercial - other,Commercial,EXISTING source,1979/10/10 00:00:00+00,1960/08/08 00:00:00+00,31680,40000,Y,0,0,0, ,296.243988
723,9979,3580,4298, ,13229,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2004/03/04 00:00:00+00,1985/01/01 00:00:00+00,28800,1000,N,0,0,0, ,319.6102216
724,9205,9396,70645, ,6872,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/01/01 00:00:00+00,,28800,0,N,0,0,0, ,296.9285363
725,9964,3118,3474,RB732,9660,Groundwater,IR23,Cranberry irrigation,Irrigation,EXISTING source,2003/10/14 00:00:00+00,2003/10/17 00:00:00+00,0,2160000,Y,298,285,34,Y,319.8753961
726,9480,4546,18932,BC520,8132,Groundwater,IR99,Irrigation - other,Irrigation,EXISTING source,1978/04/20 00:00:00+00,1960/01/02 00:00:00+00,99000,99000,Y,0,0,0, ,246.1119995
727,9179,8528,69668, ,6774,Groundwater,LV20,Non-dairy farming,Livestock,EXISTING source,2008/06/24 00:00:00+00,,43200,5000,Y,0,0,0, ,334.216251
728,9958,3312,3847,RE574,9638,Groundwater,OT01,Fire protection,Exempt Not Reported,LOCAP Residential or Fire Well,2003/04/11 00:00:00+00,2003/07/10 00:00:00+00,1029600,1008000,N,217,160,104,N,263.2189941
729,10115,5951,36596,BE085,10064,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/09/08 00:00:00+00,1977/05/17 00:00:00+00,1152000,1152000,Y,0,0,0, ,283.0162506
730,10140,8499,69636,CH023,10152,Groundwater,LV10,Dairy farming,Livestock,APPROVED well with well report,2008/06/04 00:00:00+00,1989/07/21 00:00:00+00,21600,21600,Y,297,296,33,Y,328.7572726
731,10225,5254,24313, ,10497,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1989/07/27 00:00:00+00,,1440000,1440000,Y,0,0,0, ,343.9790039
732,10284,5752,36361,BD859,10726,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1979/02/02 00:00:00+00,1958/10/03 00:00:00+00,1440000,1440000,Y,0,0,0, ,329.7174
733,10329,7717,68765,WH751,5344,Groundwater,AQ10,Aquaculture,Livestock,APPROVED well with well report,2007/05/09 00:00:00+00,2006/09/25 00:00:00+00,1800000,2160000,Y,272,255,48,Y,302.0296761
734,10338,754,68,BB356,6401,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1979/07/09 00:00:00+00,1969/06/19 00:00:00+00,1440000,1440000,Y,0,0,0, ,320.5246216
735,10355,5126,24151,BD174,6484,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1979/04/06 00:00:00+00,1979/05/16 00:00:00+00,1440000,1440000,Y,0,0,0, ,331.7656471
736,10378,5164,24200, ,6513,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1981/07/08 00:00:00+00,1982/07/08 00:00:00+00,1440000,1440000,Y,0,0,0, ,322.0516726
737,10392,4885,23840,BC894,6553,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1965/04/27 00:00:00+00,1965/05/29 00:00:00+00,1440000,1440000,Y,0,0,0, ,334.3747529
738,10411,5044,24030,BD070,6635,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/11/30 00:00:00+00,1977/03/29 00:00:00+00,1728000,1728000,Y,0,0,0, ,342.6287235
739,10437,785,111,BB399,6743,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1987/05/05 00:00:00+00,1987/04/30 00:00:00+00,1440000,1440000,Y,0,0,0, ,295.6087471
740,10453,4794,23734,BC790,6835,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1980/03/27 00:00:00+00,1961/05/25 00:00:00+00,1440000,1440000,Y,0,0,0, ,330.6531196
741,10466,9441,70690, ,6872,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/01/01 00:00:00+00,,28800,0,N,0,0,0, ,296.9285363
742,10471,9411,70660, ,6872,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/01/01 00:00:00+00,,28800,0,N,0,0,0, ,296.9285363
743,10483,6413,58416,BE810,6913,Groundwater,IN99,Industrial - other,Industrial,EXISTING source,1969/04/25 00:00:00+00,1968/02/01 00:00:00+00,28800,28800,Y,0,0,0, ,357.6736471
744,10545,1658,1368,KO319,7156,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1995/06/27 00:00:00+00,1995/07/07 00:00:00+00,1152000,1152000,Y,256,244,65,Y,308.683149
745,10563,5073,24070,BD106,7203,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1977/07/07 00:00:00+00,1977/05/03 00:00:00+00,1728000,1728000,Y,0,0,0, ,325.4685059
746,10578,7997,69087, ,7270,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2007/01/01 00:00:00+00,1957/06/28 00:00:00+00,7200,600,N,0,0,0, ,333.0640981
747,10582,6032,36696,BE173,7304,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1981/06/22 00:00:00+00,1981/06/26 00:00:00+00,1440000,1440000,Y,0,0,0, ,258.8498745
748,10585,6029,36691,BE169,7334,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1980/12/03 00:00:00+00,1981/04/04 00:00:00+00,1152000,1052000,Y,0,0,0, ,248.1239618
749,10590,6078,36748,BE224,7356,Groundwater,IN99,Industrial - other,Industrial,EXISTING source,1988/03/18 00:00:00+00,1987/12/08 00:00:00+00,432000,432000,Y,0,0,0, ,229.4311865
750,10596,1848,1611, ,7374,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1995/07/26 00:00:00+00,,216000,216000,Y,0,0,0, ,325.3404765
751,10624,5814,36429,BD927,7514,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1966/09/02 00:00:00+00,1966/05/13 00:00:00+00,1728000,1728000,Y,0,0,0, ,343.5553274
752,10648,856,188, ,7610,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1983/09/21 00:00:00+00,1977/06/01 00:00:00+00,1440000,1440000,Y,0,0,0, ,322.0150981
753,10661,1829,1583,IE864,7668,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1995/05/01 00:00:00+00,1995/05/06 00:00:00+00,1440000,1440000,Y,221,207,66,Y,272.9785749
754,10198,779,102,BB390,10375,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1966/02/14 00:00:00+00,1967/02/15 00:00:00+00,1440000,1440000,Y,0,0,0, ,307.8327637
755,10882,6418,58422,BQ101,8667,Groundwater,IN31,Food manufacturing,Industrial,APPROVED well with well report,1978/09/05 00:00:00+00,1978/11/09 00:00:00+00,720000,192000,Y,304,296,27,Y,323.5238804
756,10160,5186,24229,BD248,10230,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1983/06/17 00:00:00+00,1983/06/25 00:00:00+00,1440000,1440000,Y,0,0,0, ,307.6376873
757,10109,10679,88406, ,10040,Groundwater,IR99,Irrigation - other,Irrigation,EXISTING source,1955/12/09 00:00:00+00,,410400,72000,Y,0,0,0, ,230.1121124
758,10333,980,334,BB613,6356,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1985/05/29 00:00:00+00,1985/07/09 00:00:00+00,1440000,1440000,Y,0,0,0, ,321.795651
759,10387,5792,36407,BD905,14136,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1961/03/16 00:00:00+00,1962/01/01 00:00:00+00,1728000,1728000,Y,0,0,0, ,330.8878216
760,10449,3289,3823,RI646,6814,Groundwater,IR21,Forestry irrigation,Irrigation,APPROVED well with well report,2003/02/12 00:00:00+00,2003/03/21 00:00:00+00,1008000,1008000,Y,290,277,31,Y,307.9333529
761,10630,2250,2247,MD554,7534,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1998/01/23 00:00:00+00,1998/06/24 00:00:00+00,1440000,1440000,Y,263,183,122,N,305.3181637
762,10192,866,200,BB484,10359,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1979/01/09 00:00:00+00,1977/07/21 00:00:00+00,2016000,2016000,Y,0,0,0, ,291.3799633
763,10414,5892,36524,BE019,6646,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1965/10/12 00:00:00+00,1965/11/15 00:00:00+00,1728000,1728000,Y,0,0,0, ,336.5175059
764,10425,5203,24249,BD268,6689,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1984/04/04 00:00:00+00,1984/04/27 00:00:00+00,1440000,1440000,Y,0,0,0, ,345.8474294
765,10443,6084,36757,CU123,6792,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1989/04/13 00:00:00+00,1989/08/18 00:00:00+00,1440000,1440000,Y,311,287,69,Y,356.5336981
766,10460,5233,24288,BD307,6853,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1987/01/13 00:00:00+00,1987/04/13 00:00:00+00,1728000,1440000,Y,0,0,0, ,371.0391196
767,10548,1659,1369,FL901,7162,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1995/06/27 00:00:00+00,1995/06/30 00:00:00+00,1440000,1440000,Y,316,307,26,Y,332.6221529
768,10574,5746,36355,BD853,7249,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1965/07/20 00:00:00+00,1962/06/14 00:00:00+00,0,780000,Y,0,0,0, ,327.437502
769,10044,7093,67924, ,9847,Groundwater,DS11,Privt/single residence,Commercial,EXISTING source,2005/11/17 00:00:00+00,1989/10/03 00:00:00+00,14400,1000,Y,0,0,0, ,283.7538614
770,10373,4820,23764, ,6510,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1969/03/18 00:00:00+00,1969/05/20 00:00:00+00,1440000,1440000,Y,0,0,0, ,320.0918294
771,10497,5136,24163,BD185,6969,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1984/11/27 00:00:00+00,1980/05/31 00:00:00+00,1440000,1440000,Y,0,0,0, ,317.2541235
772,10586,6061,36728, ,7341,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1984/05/08 00:00:00+00,1984/05/10 00:00:00+00,1728000,1728000,Y,0,0,0, ,341.686902
773,10432,5017,24001,BD043,6716,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1976/06/14 00:00:00+00,1976/06/25 00:00:00+00,0,1440000,Y,0,0,0, ,335.2677961
774,10024,6967,67737,UL653,9810,Groundwater,IR99,Irrigation - other,Irrigation,EXISTING source,2005/06/28 00:00:00+00,2007/10/30 00:00:00+00,144000,144000,Y,321,318,15,Y,333.533502
775,10145,6077,36746,AW959,10166,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1987/11/05 00:00:00+00,1987/11/19 00:00:00+00,1440000,1440000,Y,299,286,46,Y,332.1039706
776,10191,867,201,BB485,10359,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1979/01/09 00:00:00+00,1978/06/06 00:00:00+00,1152000,1152000,Y,0,0,0, ,291.8834861
777,10239,9535,70792,LG055,10575,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/11/23 00:00:00+00,1996/09/25 00:00:00+00,14400,14400,N,284,283,53,Y,336.5479784
778,10339,5822,36437,BD935,6412,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1964/12/15 00:00:00+00,1963/05/01 00:00:00+00,0,1080000,Y,0,0,0, ,326.3829059
779,10354,4883,23838,BC892,6480,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1965/04/22 00:00:00+00,1965/04/17 00:00:00+00,1440000,1440000,Y,0,0,0, ,341.531451
780,10379,4724,23645,BC707,14069,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1974/02/25 00:00:00+00,1973/03/21 00:00:00+00,0,1440000,Y,0,0,0, ,330.561702
781,10389,5927,36567,BE059,6536,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1974/11/06 00:00:00+00,1974/11/15 00:00:00+00,1728000,1728000,N,0,0,0, ,332.8903784
782,10409,4841,23791,BC846,6622,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1974/10/02 00:00:00+00,1974/12/13 00:00:00+00,1728000,1728000,Y,0,0,0, ,326.1543059
783,10418,4921,23885,BC934,6662,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1967/10/18 00:00:00+00,1968/05/30 00:00:00+00,864000,2016000,Y,0,0,0, ,333.524349
784,10423,4961,23935,BC983,6678,Groundwater,IR10,Agricultural irrigation,Irrigation,FILLED & SEALED well,1980/04/25 00:00:00+00,1975/04/18 00:00:00+00,1728000,1728000,N,0,0,0, ,335.6975745
785,10428,9280,70516, ,6703,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/08/28 00:00:00+00,1976/04/19 00:00:00+00,17280,10000,N,0,0,0, ,357.076251
786,10430,5219,24266,BD285,6710,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1985/04/24 00:00:00+00,1985/05/06 00:00:00+00,1008000,1008000,Y,0,0,0, ,331.085949
787,10440,5110,24130,BD154,6758,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1978/08/03 00:00:00+00,,1440000,1440000,Y,0,0,0, ,329.9764726
788,10446,5999,36657,BE136,6803,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1979/02/26 00:00:00+00,1979/10/18 00:00:00+00,1440000,1440000,Y,0,0,0, ,345.1494255
789,10454,4837,23786,BC841,6838,Groundwater,LV20,Non-dairy farming,Livestock,APPROVED well with well report,1981/09/15 00:00:00+00,1963/07/06 00:00:00+00,576000,1200000,Y,0,0,0, ,324.9259529
790,10469,9433,70682, ,6872,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2009/01/01 00:00:00+00,,28800,0,N,0,0,0, ,296.9285363
791,10553,1116,476,DN516,7175,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,1990/07/16 00:00:00+00,1990/07/19 00:00:00+00,1440000,1440000,Y,297,288,40,Y,327.8550765
792,10592,8093,69192,UL655,7362,Groundwater,IN31,Food manufacturing,Industrial,APPROVED well with well report,2007/11/05 00:00:00+00,2007/11/06 00:00:00+00,720000,1440000,Y,308,302,27,Y,328.6963274
793,10602,1881,1647, ,7400,Groundwater,IR10,Agricultural irrigation,Irrigation,EXPIRED well approval,1995/09/12 00:00:00+00,,1440000,1440000,N,0,0,0, ,324.5541059
794,10625,6022,36684,BE162,7514,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,,,1440000,1440000,Y,0,0,0, ,342.369651
795,10643,7081,67907,TD985,7587,Groundwater,IR22,Orchards/nursery irrig,Irrigation,EXISTING source,2005/11/07 00:00:00+00,2005/11/11 00:00:00+00,180000,45000,Y,297,294,32,Y,325.2703784
796,10662,961,313, ,7673,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1984/04/27 00:00:00+00,1984/05/02 00:00:00+00,1440000,1440000,Y,0,0,0, ,310.3900402
797,10700,7135,67992,TB457,7877,Groundwater,IR10,Agricultural irrigation,Irrigation,APPROVED well with well report,2006/01/23 00:00:00+00,2006/04/13 00:00:00+00,1440000,1440000,Y,264,251,26,Y,277.5764896
798,10328,7726,68770,UC539,5344,Groundwater,CO99,Commercial - other,Commercial,APPROVED well with well report,2007/05/09 00:00:00+00,2007/09/13 00:00:00+00,77760,19000,Y,242,240,53,Y,293.3340394
799,10390,4733,23658,BC720,6548,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1958/08/07 00:00:00+00,1959/04/01 00:00:00+00,0,1440000,Y,0,0,0, ,333.2774804
800,10551,2331,2399,MO865,7170,Groundwater,OT11,Groundwater remediation,Other,FILLED & SEALED well,1998/06/16 00:00:00+00,1994/01/11 00:00:00+00,360000,366000,N,248,241,16,Y,256.2270765
801,10572,1640,1344,FR732,7243,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1994/11/03 00:00:00+00,1994/12/02 00:00:00+00,2880000,2880000,Y,313,300,50,Y,350.6084039
802,10358,5724,36328,BD827,6488,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1964/03/31 00:00:00+00,1964/04/17 00:00:00+00,1728000,1728000,Y,0,0,0, ,340.1506981
803,10025,7817,68861, ,9816,Groundwater,DS11,Privt/single residence,Commercial,LOCAP Residential or Fire Well,2007/07/02 00:00:00+00,1967/11/07 00:00:00+00,21600,1000,N,0,0,0, ,248.1931482
804,10659,4553,18941,BC528,7651,Groundwater,IR10,Agricultural irrigation,Irrigation,EXISTING source,1982/04/02 00:00:00+00,1982/04/27 00:00:00+00,1440000,1440000,Y,0,0,0, ,253.2420044
