OBJECTID,ASSESSMENT_UNIT_SEQ_NO,OFFICIAL_NAME,LOCAL_NAME,WATER_TYPE,START_MILE_NO,END_MILE_NO,WATER_TYPE_SIZE_AMT,MEASUREMENT_UNIT,TROUT_CLASS_CODE,WBIC,ORW_ERW,IMPAIRED_WATER_LISTED_FLAG,FED_WILD_SCENIC_FLAG,CLASSIFICATION,CLASSIFICATION_STATUS,DECISION_DATE,INFO_SOURCES,DOCUMENT_URL,ASSESSMENT_UNIT_COMMENT,SHAPELEN
1406,893459,Coon Creek,Coon Creek,RIVER,0,13.81,13.81,MILES,CLASS III,1643500,,Y,,Class III Trout,Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,This AU:  Mouth to CTH K in Chaseburg.,22224.4511297402
1407,894149,South Fork Sugar Creek,South Fork Sugar Creek,RIVER,0,3.1,3.1,MILES,CLASS II,1636600,,N,,Cold  (Class II Trout),Official,,"Watershed Tables Basin Plans, Trout Book: 2002 Spatial Data",NA,entire stream,4985.21214994546
1408,9708,Unnamed,Creek 31-14 T29n R12e,RIVER,0,1.27,1.27,MILES,CLASS I,7215131,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"(T29N-R12E-S31))
Now in hydro.  This replaced an AU line with WBIC 331200 that didn't appear to have any basis in real life.  Digitized from trout line.  OERW line in vicinity, but flows into Creek 31-15 before flowing into N Br. Embarrass River.",2037.01971013707
1412,897130,Unnamed,Coco Creek,RIVER,0.51,2.36,1.85,MILES,CLASS II,772100,,Y,,Cold  (Class II Trout),Official,,"Chloride Assessment Package, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Temperature Assessment Package, Total Phosphorus Package - Streams",NA,This AU: Capitol Drive to Shore Drive.,2969.23939401112
1413,897203,Mukwonago River,Mukwonago River,RIVER,11.29,11.37,0.08,MILES,CLASS III,765500,ERW,N,,Class III Trout,Official,,Trout Book: 2002 Spatial Data,NA,This AU:  Jericho Creek to Eagle Spring Lake.,127.401689160447
1414,903531,Keyes Creek,Keyes Creek,RIVER,7.6,8.03,0.43,MILES,CLASS I,100400,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,"This AU:  Keyes Creek in S33 T27N R24E.
7-19-10: Updated AU to match 1980 Trout Book. This is the ERW portion of the stream. (Only section 33).

Previous Note:
The ERW section has been extended through to the headwaters (LDH).

",702.533055127926
1415,10716,Tagatz Creek,Tagatz Creek,RIVER,1.52,14.99,13.47,MILES,CLASS I,165800,ORW,Y,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data",NA,This AU:  Westfield Creek to the headwaters.,21674.3784419757
1416,942624,Unnamed,Creek 24-9,RIVER,0,4.27,4.27,MILES,CLASS I,536300,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data, SWIMS Data and Professional Decision",NA,This AU: Entire creek,6874.58873151601
1417,942819,Spring Creek,Spring Creek,RIVER,0,0.31,0.31,MILES,CLASS II,537400,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire length within Oconto Co.,505.374425259052
1418,943366,Otter Creek,Otter Creek,RIVER,5.9,21.98,16.08,MILES,CLASS II,547200,,N,,Cold  (Class II Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: Forest/Marinette Co. line to headwaters 
",25872.5157846873
1419,943710,Unnamed,Creek 36-8,RIVER,0,0.29,0.29,MILES,CLASS I,562200,,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire stream.,464.807748208178
1423,945133,Wausaukee River,Wausaukee River,RIVER,5.55,27.31,21.76,MILES,CLASS I,611400,ORW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,This AU: From US Hwy 141 to Unnamed creek (Creek 6-7a),35027.3554536621
1424,945337,Leech Creek,Leech Creek,RIVER,7.82,8.67,0.85,MILES,CLASS II,1271600,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU:  Segment near CTH T not on hydro.  Digitized feature from old trout layer.,1357.29979428472
1425,945603,Unnamed,Mcdonald Creek,RIVER,0,0.42,0.42,MILES,CLASS II,618000,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire creek,668.087467730714
1426,945950,Unnamed,Lost Creek,RIVER,0,0.04,0.04,MILES,CLASS I,623100,ORW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire creek,67.1950588541205
1427,946197,Unnamed,Glen Creek ,RIVER,0,0.74,0.74,MILES,CLASS I,627250,ORW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire creek,1188.41267655276
1428,946273,Unnamed,Creek 28-9,RIVER,0,0.21,0.21,MILES,CLASS I,629750,,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire branch,337.962299357532
1429,946780,Unnamed,Creek 24-2,RIVER,0,0.19,0.19,MILES,CLASS I,631100,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire creek,298.265840333396
1430,946804,Unnamed,Creek 25-8,RIVER,0.01,0.74,0.73,MILES,CLASS I,631500,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire creek,1174.66396221893
1431,947339,Pre-Emption Creek,Pre-Emption Creek,RIVER,0,7.22,7.22,MILES,CLASS II,2895200,,Y,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Chloride Assessment Package, Macroinvertebrate IBI Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data",NA,This AU: entire stream.,11629.7371860029
1432,947599,Unnamed,Creek 6-7,RIVER,0,0.27,0.27,MILES,CLASS I,1298800,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data",NA,"This AU:  Mouth to Sauk-Juneau county line.
Per Unmuth and VanDyck this is part of Hilburt Cr, 11/29/10.",440.462005530556
1433,947628,Unnamed,Creek 1-3,RIVER,0,0.57,0.57,MILES,CLASS I,3000387,,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,AU: entire stream,915.689971523809
1434,948033,Little Lemonweir River,Little Lemonweir River,RIVER,4.62,12.36,7.74,MILES,CLASS III,1306100,,Y,,Class III Trout,Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,This AU:  US 12 to CTH A.,12456.2885588762
1435,948058,Little Lemonweir River,Little Lemonweir River,RIVER,12.36,22.86,10.5,MILES,CLASS II,1306100,,Y,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams",NA,This AU: CTH A to trib at Jungle Rd.,16896.051030882
1436,948271,Unnamed,Creek 13-1,RIVER,0.97,3.35,2.38,MILES,CLASS II,1307200,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU:  Juneau-Monroe county line to the headwaters.,3835.33783683303
1437,948297,Unnamed,Creek 12-13,RIVER,0,0.58,0.58,MILES,CLASS II,3000201,,N,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,AU: entire stream,931.150844094169
1438,948325,Unnamed,Creek 13-1c,RIVER,0,0.38,0.38,MILES,CLASS II,3000379,,N,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,Not on hydro and not sure if this stream really exists.  AU follows old trout layer feature.,612.915653561771
1442,905576,Bad River,Bad River,RIVER,43.76,51.62,7.86,MILES,CLASS III,2891900,ERW,N,N,Class III Trout,Official,,"Fish IBI Analysis Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams, SWIMS Data and Professional Decision",NA,AU: Outfall in Mellen to Tyler Forks.,12655.4559089064
1443,922864,Unnamed,Creek 13-1,RIVER,0,0.58,0.58,MILES,CLASS II,3000363,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,entire stream,930.972312518143
1444,923233,Castle Rock Spring,Castle Rock Spring,RIVER,0,0.14,0.14,MILES,CLASS II,1212500,,N,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,entire springs and outlet,228.496893241525
1445,923954,Middle Bear Creek,Middle Bear Creek,RIVER,2.17,3.64,1.47,MILES,CLASS II,1193700,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU:  Second crossing of CTH D to the headwaters.,2361.32755171324
1446,936994,Unnamed,Creek 5-5,RIVER,0,0.66,0.66,MILES,CLASS I,448850,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire creek,1060.41796062636
1447,937082,Linzy Creek,Linzy Creek,RIVER,0,6.53,6.53,MILES,CLASS III,453400,,N,,Class III Trout,Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data",NA,This AU: From Menominee/Oconto county line to the Oconto River,10504.1807111641
1448,937140,North Branch Oconto River,North Branch Oconto River,RIVER,50.76,68.48,17.72,MILES,CLASS II,457800,ERW,N,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Trout Book: 2002 Spatial Data",NA,"This AU: From Oconto/Forest County line to headwaters
",28526.7412866706
1449,937193,Unnamed,Creek 11-6,RIVER,0,1.35,1.35,MILES,CLASS I,458450,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire Creek ,2162.71682416002
1451,937605,Unnamed,Creek 11-12,RIVER,0,0.54,0.54,MILES,CLASS I,463100,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,"This AU: Entire Creek

Change from Creek 11-2 to 11-12 per 1980 trout book. 4/13/10.",875.017824906148
1452,937717,Unnamed,Creek 30-14,RIVER,0,0.47,0.47,MILES,CLASS I,464000,,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire Creek,753.108031840361
1453,937892,Unnamed,Creek 36-10,RIVER,0,0.17,0.17,MILES,CLASS I,469200,,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire Creek,275.467735123329
1454,937961,Unnamed,Creek 24-5,RIVER,0,0.15,0.15,MILES,CLASS I,469800,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: ,242.64387395953
1455,938007,Unnamed,Creek 15-13,RIVER,0,0.27,0.27,MILES,CLASS I,470400,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire Creek,436.435600433652
1456,938211,Unnamed,Creek 34-7,RIVER,0,0.38,0.38,MILES,CLASS II,3000358,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU:  Mouth to first trib.,613.884684692487
1457,938562,Unnamed,Creek 9-13,RIVER,0,0.1,0.1,MILES,CLASS I,473200,,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire Creek,158.140672238179
1459,939373,Un Spring,Torpee Creek Spring,RIVER,0,0.31,0.31,MILES,CLASS II,477700,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: From main branch to Unnamed lake WBIC no. 477700,499.640284109202
1460,939427,Unnamed,Torpee Creek,RIVER,0,0.03,0.03,MILES,CLASS II,477600,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Short segment from main branch to unnamed lake WBIC no. 477700,50.3301131535671
1461,939514,South Branch Oconto River,South Branch Oconto River,RIVER,28.9,44.65,15.75,MILES,CLASS I,480900,ORW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data",NA,This AU: From segment 2 of river south to Oconto/Menomonee Co. line,25345.2462894629
1462,939838,Unnamed,Creek 31-8,RIVER,0,0.53,0.53,MILES,CLASS I,484900,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire creek,847.331562715558
1463,940175,Unnamed,Creek 33-14,RIVER,0,0.69,0.69,MILES,CLASS I,492600,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: Entire Creek,1112.64928103612
1464,940596,Unnamed,Creek 7-9,RIVER,0,0.08,0.08,MILES,CLASS I,495500,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire stream.,134.039807858021
1465,940869,Messenger Creek,Messenger Creek,RIVER,0,1.05,1.05,MILES,CLASS I,518400,,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: From Charolis Rd to Montana Lake,1695.49311741834
1466,941102,Unnamed,Creek 34-12,RIVER,0,0.41,0.41,MILES,CLASS I,520950,,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire creek,652.344767306097
1467,941264,Mill Creek,Mill Creek,RIVER,22.28,31.47,9.19,MILES,CLASS II,1242200,,N,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,This AU: CTH Y to Twin Valley Lake dam.,14795.264890385
1468,942371,Unnamed,Creek 29-11,RIVER,0.01,0.98,0.97,MILES,CLASS I,529800,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This Au: Entire creek,1570.73765014764
1469,942400,Unnamed,Creek 11-7,RIVER,0.01,0.45,0.44,MILES,CLASS I,533450,ERW,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: Entire creek,713.585120726242
1470,315427,Wolf River,Wolf River-Main Stem,RIVER,145.86,183.72,37.86,MILES,CLASS II,241300,ORW,N,,Cold  (Class II Trout),Official,,"Chloride Assessment Package, Trout Book: 1980 Blue Book, Total Phosphorus Package - Streams",NA,AU: Menominee-Langlade county line to CTH T near Pearson.,60938.873274824
1471,315668,Bear Creek,Bear Creek,RIVER,1.94,7.23,5.29,MILES,CLASS I,267400,ERW,Y,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Temperature Assessment Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams, Trout Book: 1980 Blue Book",NA,This AU: From headwaters to County Road Q.,8514.95366244642
1472,315887,Waupaca River,Waupaca River,RIVER,17.25,32.77,15.52,MILES,CLASS II,257400,ERW,Y,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, SWIMS Data and Professional Decision, Trout Book: 1980 Blue Book",NA,"This AU: From State Hwy 22 to Waupaca/Portage county line.
",24978.6165347414
1473,316728,North Branch Embarrass River,Embarrass River-N. Branch,RIVER,18.15,34.75,16.6,MILES,CLASS I,301300,ORW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: Above Bowler Ranger Station (CTH D) to headwaters.,26724.1785303091
1475,11118,Third N Br Miller Creek,3rd N Br Miller Creek,RIVER,0,2.32,2.32,MILES,CLASS I,329500,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: entire stream.
The stream is 1980 class 1 trout. ERW layer is missing.
Not on O/ERW maps; need to verify.",3735.66110698533
1482,359606,Suukjak Sep Creek,Suukjak Sep Creek,RIVER,0.79,7.47,6.68,MILES,CLASS I,1665800,ERW,N,,Cold  (Class I Trout),Official,,"Watershed Tables Basin Plans, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU:  Squaw Lake inlet to headwaters.,10756.7135942692
1483,359671,Bostwick Creek,Bostwick Creek,RIVER,7.78,16.04,8.26,MILES,CLASS I,1650900,ERW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: CTH M to headwaters.,13290.7693795387
1484,360238,Hardies Creek,Hardies Creek,RIVER,3.54,4.91,1.37,MILES,CLASS III,1686900,,N,,Class III Trout,Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,,2206.22984332023
1486,362004,Trempealeau River,Trempealeau River,RIVER,69.85,81.51,11.66,MILES,CLASS II,1769900,ERW,Y,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Watershed Tables Basin Plans, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams, Trout Book: 1980 ",NA,This AU:  From CTH P near Taylor to the confluence of the North and South branches near Hixton.,18762.6982172134
1487,362249,Eagle Creek,Eagle Creek,RIVER,9.09,17.56,8.47,MILES,CLASS II,1808400,,N,,Cold  (Class II Trout),Official,01/01/1980,"Total Maximum Daily Load Report, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2016 Wisconsin Trout Streams, Watershed Tables Basin Plans, Trout Book: 2002 Spatial Data, Trout ","""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124439237"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124439245"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124420370""",This AU:  Joos Valley Creek to the headwaters.,13631.9591624595
1506,19009,Unnamed,Trib to Mawikwe Creek,RIVER,0,1.95,1.95,MILES,CLASS I,2882600,ERW,N,,Class III Trout,Official,,NA,NA,This AU: entire stream,3125.27180131265
1507,1438882,Shunenberg Creek,Shunenberg Creek,RIVER,0,0.94,0.94,MILES,CLASS II,2750000,,N,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,,1520.31870948895
1508,1438991,Sandrock Creek,Sandrock Creek,RIVER,0,0.38,0.38,MILES,CLASS III,2949000,,N,,Class III Trout,Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,,610.886531958716
1509,1439139,Deer Creek,Deer Creek,RIVER,0,7.56,7.56,MILES,CLASS II,2291900,,N,N,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,,12161.4879135726
1510,1439151,Little Waumandee Creek,Little Waumandee Creek,RIVER,11,21.11,10.11,MILES,CLASS II,1810300,,N,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2016 Wisconsin Trout Streams, Temperature Assessment Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book","""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124439320"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124439316"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124420370"", ""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=124559968""",This AU: CTH E to the headwaters.,16266.7834256194
1511,1439201,Unnamed,Bay Spring Creek,RIVER,0,0.27,0.27,MILES,CLASS II,2405000,,N,N,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,,434.249725524025
1512,1439318,Unnamed,Kenyon Spring Creek,RIVER,0,0.68,0.68,MILES,CLASS II,2405500,,N,N,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,,1099.69642198793
1513,1439364,Butternut Creek,Butternut Creek,RIVER,20.61,29.31,8.7,MILES,CLASS III,2282300,,N,N,Class III Trout,Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU:  Second crossing of CTH F in Butternut to Little Butternut Lake.,14000.5272543997
1514,1439383,Spiller Creek,Spiller Creek,RIVER,1.08,7.52,6.44,MILES,CLASS III,2284100,,N,N,Class III Trout,Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: From headwaters to Ashland/Price county line.,10362.8393382275
1515,1439866,Potato River,Potato River,RIVER,11.1,36.99,25.89,MILES,CLASS II,2906200,ORW,N,,Cold  (Class II Trout),Official,,"Fish Community Survey Data, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book, SWIMS Data and Professional Decision",NA,,41665.429540229
1516,1440092,South Fork Buffalo River,Buffalo River - South Fork,RIVER,5.42,16.63,11.21,MILES,CLASS I,1827100,ERW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Trout Book: 1980 Blue Book",NA,This AU:  Trempealeau-Jackson county line to the headwaters.,18036.3941323928
1517,1440146,Unnamed,Creek 14-4,RIVER,0,1.05,1.05,MILES,CLASS III,1827500,,N,,Class III Trout,Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,AU: entire stream,1694.4148365851
1518,1440196,Unnamed,Creek 13-15,RIVER,0,0.6,0.6,MILES,CLASS I,1827700,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU:  Mouth to the Trempealeau-Jackson county line.,959.86808340868
1519,1440273,Unnamed,Creek 29-5,RIVER,0,1.06,1.06,MILES,CLASS I,1828400,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,AU: entire stream,1698.24558221995
1520,1440488,Unnamed,Creek 3-4,RIVER,0,0.72,0.72,MILES,CLASS III,1830000,,N,,Class III Trout,Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU:  Mouth to the Trempealeau-Eau Claire county line.,1157.38750017824
1521,1440660,Simpson Creek,Simpson Creek,RIVER,3.04,10.9,7.86,MILES,CLASS II,660600,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,,12643.240030926
1522,1440690,Meadowbrook Creek,Meadowbrook Creek,RIVER,3.6,10.06,6.46,MILES,CLASS II,681400,,N,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,This AU:  Spring pond outlet (wbic 682200) to the headwaters.,10393.0608197849
1523,1440854,Unnamed,Creek 2-13,RIVER,0,0.25,0.25,MILES,CLASS I,404700,ERW,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,Need to determine headwaters.,404.874283811793
1524,1440871,Unnamed,Unnamed Creek 18-4 ,RIVER,1.48,1.88,0.4,MILES,CLASS I,1530600,,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,,641.599680748959
1525,1441581,Unnamed,Creek 25-4a,RIVER,0,0.67,0.67,MILES,CLASS I,567300,,N,,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,entire stream,1079.13648314675
1528,1442183,West Branch Red River,West Branch Red River,RIVER,11.01,29.57,18.56,MILES,CLASS I,330600,ERW,N,,Cold  (Class I Trout),Official,,"Fish Community Survey Data, Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,"This AU: From headwaters to Menominee county line.
rehwam:
Shawano County segment upgraded from class 2 to class 1 from 1980 to 2002.  NR102 indicates that class 2 portion in Shawano Co. is ERW.  This is likely based on 1980 trout listing, so the Shawano Co. portion is still ERW.
",29875.4787090734
1529,1442658,Popple River,Popple River,RIVER,30.32,31.99,1.67,MILES,CLASS I,652900,ORW,N,Y,Cold  (Class I Trout),Official,,Trout Book: 2002 Spatial Data,NA,"State Wild and Scenic River.
Trout ID:  612 
Class Code:  1 
OEW ID:  1540 
OEW Name:  Popple River 
WBIC:  652900 
OE Code:  O 
",2682.1256714056
1530,1442724,Unnamed,Little Willow Creek Tributary (S24),RIVER,0.21,0.8,0.59,MILES,CLASS I,1531500,ERW,N,,Cold  (Class I Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data",NA,,944.684949342699
1531,1442993,Sucker Creek,Sucker Creek,RIVER,4.97,11.93,6.96,MILES,CLASS I,2112200,ERW,N,,Cold  (Class I Trout),Official,,"Fish IBI Analysis Package, Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams, Trout Book: 1980 Blue Book",NA,This AU: from Cedar Ave. upstream to headwaters.,11204.2905056336
1533,1443087,Little Weirgor Creek,Little Weirgor Creek,RIVER,2.03,15.21,13.18,MILES,CLASS II,2370500,ORW,N,,Cold  (Class II Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,,21213.0024732382
1534,1443110,Deer Creek,Deer Creek (Meteor Twnshp),RIVER,5.97,6.33,0.36,MILES,CLASS III,2374200,,N,,Class III Trout,Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,,587.474418223794
1535,1443128,Moose Ear Creek,Moose Ear Creek  ,RIVER,2.52,9.92,7.4,MILES,CLASS II,2089600,,Y,,Cold  (Class II Trout),Official,,"Macroinvertebrate IBI Package, Trout Book: 2002 Spatial Data, SWIMS Data and Professional Decision, Total Phosphorus Package - Streams, Trout Book: 1980 Blue Book",NA,,11914.2140565833
1536,1443140,Moose Ear Creek,Moose Ear Creek,RIVER,11.32,22.54,11.22,MILES,CLASS II,2089600,,N,,Cold  (Class II Trout),Official,,"Trout Book: 2002 Spatial Data, SWIMS Data and Professional Decision, Trout Book: 1980 Blue Book",NA,,18054.932009997
1539,1456492,Unnamed,Creek 20-8,RIVER,0,1.3,1.3,MILES,CLASS II,2067550,,N,,Cold  (Class I Trout),Official,,"Trout Book: 2002 Spatial Data, Trout Book: 1980 Blue Book",NA,This AU: entire stream.,2094.09088416066
1540,1456596,Otter Creek,Otter Creek,RIVER,0,6.97,6.97,MILES,CLASS II,2068700,,Y,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Trout Fisheries Methodology, Temperature Assessment Package, Trout Book: 2002 Spatial Data, Total Phosphorus Package - Streams, Trout Book: 1980 Blue Book","""http://dnr.wi.gov/water/wsSWIMSDocument.ashx?documentSeqNo=257372637""",This AU: from the mouth upstream to the crossing of the N\S portion of CTH S.,11218.2267304395
1541,1456877,Slovak Valley Creek,Creek 14-10,RIVER,0,2.92,2.92,MILES,CLASS II,2073900,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,This AU: entire stream,4694.61669208897
1542,1457019,Unnamed,Creek 23-11,RIVER,0,1.95,1.95,MILES,CLASS II,2074800,,N,,Cold  (Class II Trout),Official,,"Fish IBI Analysis Package, Trout Book: 2002 Spatial Data",NA,This AU: entire stream,3134.73383088186
1543,1457078,Unnamed,Creek 30-15 (37n15e),RIVER,0,1.29,1.29,MILES,CLASS II,3000360,,N,,Cold  (Class II Trout),Official,,Trout Book: 2002 Spatial Data,NA,AU: entire stream,2082.18194750627
